Company Name,Industry,Metro Area,Million/Billion,State,% Growth,Rank,Revenue
InfoScout,Business Products & Services,San Francisco,Million,California,36.02,84,7
IMPACT Technology Recruiting,IT Services,Phoenix,Million,Arizona,35.66,85,12
Nutanix,Software,San Jose,Million,California,35.66,86,241
TapClicks,Advertising & Marketing,San Jose,Million,California,35.34,87,6
Futurewave Systems,Human Resources,Atlanta,Million,Georgia,34.99,88,15
Worth Clark Realty,Real Estate,"St. Louis, MO-IL",Million,Missouri,34.93,89,5
TickPick,Consumer Products & Services,New York City,Million,New York,34.88,90,24
Konnected,Advertising & Marketing,Detroit,Million,Michigan,34.78,91,4
Solar Media Team,Advertising & Marketing,Miami,Million,Florida,34.28,92,4
DoubleMap,Logistics & Transportation,"Indianapolis, IN",Million,Indiana,34.15,93,4
Hireology,Business Products & Services,Chicago,Million,Illinois,33.86,94,4
OutboundEngine,Software,Austin,Million,Texas,33.77,95,10
HYPERICE,Consumer Products & Services,Los Angeles,Million,California,33.66,96,5
Cambridge Select,Retail,Boston,Million,Massachusetts,33.41,97,38
CATMEDIA,Government Services,Atlanta,Million,Georgia,33.23,98,17
ArrowCore Group,IT Services,Atlanta,Million,Georgia,33.07,99,5
Inoventures,Government Services,"Washington, DC",Million,Virginia,32.55,100,4
Render Media,Media,Los Angeles,Million,California,32.38,101,8
HomeWorks Energy,Energy,Boston,Million,Massachusetts,31.68,102,10
Redefy Real Estate,Real Estate,Denver,Million,Colorado,31.54,103,10
ipsy,Consumer Products & Services,San Francisco,Million,California,31.36,104,169
MeUndies,Retail,Los Angeles,Million,California,31.33,105,16
Flite Banking Centers,Business Products & Services,Houston,Million,Texas,31.29,106,4
CallRail,Software,Atlanta,Million,Georgia,30.7,107,6
Maxton & Company,Business Products & Services,San Francisco,Million,California,30.36,108,5
Cognitive Medical Systems,Health,San Diego,Million,California,29.97,109,13
Herman Integration Services,Business Products & Services,Miami,Million,Florida,29.82,110,8
BahFed,Government Services,"Portland, OR",Million,Oregon,29.63,111,14
MS3,IT Services,"Washington, DC",Million,West Virginia,29.46,112,3
E-Telequote Insurance,Insurance,Tampa,Million,Florida,29.09,113,16
Treeium,Construction,Los Angeles,Million,California,28.88,114,33
ProNexus,Financial Services,"Rochester, NY",Million,New York,28.74,115,7
The K Company Realty,Real Estate,Miami,Million,Florida,28.69,116,10
