Company Name,Industry,Metro Area,Million/Billion,State,% Growth,Rank,Revenue
GovDirect,Computer Hardware,Tampa,Million,Florida,3.38,"1,150",7
JJ Virgin & Associates,Health,"Riverside-San Bernardino-Ontario, CA",Million,California,3.38,"1,151",7
Two Maids & A Mop,Consumer Products & Services,"Birmingham-Hoover, AL",Million,Alabama,3.37,"1,152",4
Future Force,Business Products & Services,San Diego,Million,California,3.37,"1,153",4
Superior Spooling & Energy Services,Energy,"Oklahoma City, OK",Million,Oklahoma,3.37,"1,154",3
d'aprile properties,Real Estate,Chicago,Million,Illinois,3.37,"1,155",9
Breckenridge Landscape,Construction,"Milwaukee-Waukesha-West Allis, WI",Million,Wisconsin,3.37,"1,156",3
Precision Precast Erectors,Construction,"Coeur d'Alene, ID",Million,Idaho,3.36,"1,157",4
Cyber Group,Engineering,Dallas,Million,Texas,3.36,"1,158",12
US GREEN,Energy,San Diego,Million,California,3.36,"1,159",3
Nelson Cash,Advertising & Marketing,Chicago,Million,Illinois,3.35,"1,160",9
Acceleration Partners,Advertising & Marketing,Boston,Million,Massachusetts,3.34,"1,161",14
The Doctor's Choice,Health,Los Angeles,Million,California,3.34,"1,162",4
PolicyStat,Software,"Indianapolis, IN",Million,Indiana,3.33,"1,163",4
Onestaff Medical,Health,"Omaha-Council Bluffs, NE-IA",Million,Nebraska,3.33,"1,164",19
RealSelf,Health,Seattle,Million,Washington,3.33,"1,165",20
Plumbing & HVAC SEO,Advertising & Marketing,Miami,Million,Florida,3.33,"1,166",2
Happy's Home Centers,Consumer Products & Services,Tampa,Million,Florida,3.33,"1,167",5
EXOS,Health,Phoenix,Million,Arizona,3.32,"1,168",129
Defense Point Security,Government Services,"Washington, DC",Million,Virginia,3.32,"1,169",20
MGN Logistics,Logistics & Transportation,Philadelphia,Million,Pennsylvania,3.32,"1,170",19
ALTA MODA SALON,Retail,"San Antonio-New Braunfels, TX",Million,Texas,3.32,"1,171",3
NewWave Telecom and Technologies,Government Services,Baltimore,Million,Maryland,3.32,"1,172",28
Rainmaker Ad Ventures,Advertising & Marketing,Los Angeles,Million,California,3.32,"1,173",8
Fatbeam,Telecommunications,"Coeur d'Alene, ID",Million,Idaho,3.31,"1,174",3
Wireless Environment,Consumer Products & Services,Cleveland,Million,Ohio,3.31,"1,175",16
One Federal Solution,Government Services,"Washington, DC",Million,Maryland,3.3,"1,176",10
Alldaybot,IT Services,Dallas,Million,Texas,3.3,"1,177",2
Lady M Confections Co.,Food & Beverage,New York City,Million,New York,3.3,"1,178",16
TeleWorld Solutions,Telecommunications,"Washington, DC",Million,Virginia,3.3,"1,179",37
5,Energy,Dallas,Million,Texas,3.29,"1,180",9
Modernize,Business Products & Services,Austin,Million,Texas,3.29,"1,181",47
Cloud for Good,IT Services,"Asheville, NC",Million,North Carolina,3.29,"1,182",5
Tasacom Technologies,IT Services,Dallas,Million,Texas,3.29,"1,183",5
Inova Payroll,Human Resources,Nashville,Million,Tennessee,3.29,"1,184",8
Edelberg and Associates,Health,Atlanta,Million,Georgia,3.29,"1,185",7
Monster Movers,Logistics & Transportation,"Worcester, MA-CT",Million,Massachusetts,3.28,"1,186",2
JMX Brands,Retail,"North Port-Sarasota-Bradenton, FL",Million,Florida,3.28,"1,187",8
TargetRecruit,IT Services,Nashville,Million,Tennessee,3.28,"1,188",3
Cybermedia Technologies,IT Services,"Washington, DC",Million,Virginia,3.28,"1,189",13
Astoria Company,Advertising & Marketing,Philadelphia,Million,Delaware,3.18,"1,190",5
Wellborn + Wright,Manufacturing,"Richmond, VA",Million,Virginia,3.27,"1,191",3
DirecLogix,IT Services,Miami,Million,Florida,3.27,"1,192",12
JP Services,Energy,Houston,Million,Texas,3.27,"1,193",7
Franklin Data Ventures,IT Services,Los Angeles,Million,California,3.27,"1,194",6
IdeaScale,Software,San Francisco,Million,California,3.27,"1,195",4
Mark Fisher Fitness,Health,New York City,Million,New York,3.27,"1,196",4
Tevora Business Solutions,Security,Los Angeles,Million,California,3.27,"1,197",18
Tunnel Hill Partners,Environmental Services,New York City,Million,New York,3.26,"1,198",137
Rouge 24,Advertising & Marketing,Miami,Million,Florida,3.26,"1,199",3
ID Experts,Security,Portland,Million,Oregon,3.26,"1,200",69
Anchor Consultants,Financial Services,New York City,Million,New Jersey,3.26,"1,201",43
DayNine Consulting,Business Products & Services,San Francisco,Million,California,3.26,"1,202",72
Agile Velocity,Business Products & Services,Austin,Million,Texas,3.25,"1,203",3
Prodigy Construction,Construction,"Louisville/Jefferson County, KY-IN",Million,Kentucky,3.25,"1,204",44
GrapeTree Medical Staffing,Health,"Spirit Lake, IA",Million,Iowa,3.25,"1,205",20
Pharmapacks,Retail,New York City,Million,New York,3.25,"1,206",67
Swain Techs,IT Services,Philadelphia,Million,Pennsylvania,3.24,"1,207",6
Liberty Pipeline Services,Energy,Houston,Million,Texas,3.24,"1,208",38
MGX Copy,Business Products & Services,San Diego,Million,California,3.23,"1,209",5
Ben Kinney Companies,Real Estate,"Bellingham, WA",Million,Washington,3.23,"1,210",66
Brilliant,Human Resources,Chicago,Million,Illinois,3.22,"1,211",27
asap semiconductor,Engineering,Los Angeles,Million,California,3.21,"1,212",8
OneSource Virtual,Business Products & Services,Dallas,Million,Texas,3.21,"1,213",96
inSegment,Advertising & Marketing,Boston,Million,Massachusetts,3.21,"1,214",8
REI Network,Real Estate,Houston,Million,Texas,3.2,"1,215",2
Fusion Medical Staffing,Health,"Omaha-Council Bluffs, NE-IA",Million,Nebraska,3.19,"1,216",65
DOM360,Advertising & Marketing,"Greenville-Anderson-Mauldin, SC",Million,South Carolina,3.19,"1,217",11
ATOM Solutions,IT Services,Houston,Million,Texas,3.19,"1,218",4
LogicForce Consulting,Business Products & Services,Nashville,Million,Tennessee,3.19,"1,219",6
RockIT Recruiting,Business Products & Services,San Francisco,Million,California,3.18,"1,220",3
IST Research,Software,"Richmond, VA",Million,Virginia,3.18,"1,221",6
Grass Roots Meetings & Events,Travel & Hospitality,New York City,Million,New York,3.18,"1,222",5
PayLease,Financial Services,San Diego,Million,California,3.18,"1,223",50
ListEngage,Advertising & Marketing,Boston,Million,Massachusetts,3.18,"1,224",5
OutsideAgents.com,Travel & Hospitality,"Jacksonville, FL",Million,Florida,3.18,"1,225",135
T3 Expo,Business Products & Services,Boston,Million,Massachusetts,3.17,"1,226",25
Orion Technologies,Engineering,"Orlando, FL",Million,Florida,3.17,"1,227",5
Jaybird,Consumer Products & Services,Salt Lake City,Million,Utah,3.17,"1,228",59
BCTEC,Telecommunications,Houston,Million,Texas,3.17,"1,229",4
Service First Logistics,Logistics & Transportation,Detroit,Million,Michigan,3.17,"1,230",36
Jewell Machinery,Business Products & Services,"Roanoke, VA",Million,Virginia,3.16,"1,231",7
Vets First Choice,Health,"Portland-South Portland, ME",Million,Maine,3.16,"1,232",61
AltSource,Software,"Portland, OR",Million,Oregon,3.16,"1,233",9
Rational Interaction,Advertising & Marketing,Seattle,Million,Washington,3.15,"1,234",21
Avaap,IT Services,New York City,Million,New Jersey,3.14,"1,235",35
Orchestra Software,Software,"Portland, OR",Million,Oregon,3.14,"1,236",5
Mobile Solutions Services,Software,Denver,Million,Colorado,3.14,"1,237",5
Travel Nurse across America,Health,"Little Rock-North Little Rock-Conway, AR",Million,Arkansas,3.14,"1,238",85
PureWow,Media,New York City,Million,New York,3.13,"1,239",9
Creative Business Solutions,Government Services,"Washington, DC",Million,District of Columbia,3.13,"1,240",13
BCV Social,Advertising & Marketing,Chicago,Million,Illinois,3.12,"1,241",4
A3 Communications,IT Services,"Columbia, SC",Million,South Carolina,3.12,"1,242",36
Big Spring Environmental,Environmental Services,"Huntsville, AL",Million,Alabama,3.12,"1,243",5
CS Recruiting,Human Resources,Chicago,Million,Illinois,3.12,"1,244",3
GovSmart,Computer Hardware,"Charlottesville, VA",Million,Virginia,3.11,"1,245",63
Work Market,Software,New York City,Million,New York,3.1,"1,246",6
Hawkers Asian Street Fare,Food & Beverage,"Orlando, FL",Million,Florida,3.1,"1,247",7
Foresight Wealth Management,Financial Services,Salt Lake City,Million,Utah,3.09,"1,248",3
Spirit Monkey,Consumer Products & Services,"San Antonio-New Braunfels, TX",Million,Texas,3.09,"1,249",4
"Sterliing, Johnston & Associates",Real Estate,Seattle,Million,Washington,3.09,"1,250",6
partsco,Retail,"Las Vegas-Henderson-Paradise, NV",Million,Nevada,3.09,"1,251",3
ORI,Business Products & Services,"Washington, DC",Million,Virginia,3.09,"1,252",22
Betts Recruiting,Human Resources,San Francisco,Million,California,3.08,"1,253",14
Innovative Power Systems,Energy,Minneapolis,Million,Minnesota,3.08,"1,254",5
Advanta Industries,Manufacturing,,Million,South Carolina,3.08,"1,255",4
Tallwave,Business Products & Services,Phoenix,Million,Arizona,3.08,"1,256",3
HomeVestors of America,Real Estate,Dallas,Million,Texas,3.08,"1,257",48
The Credit Pros,Financial Services,New York City,Million,New Jersey,3.08,"1,258",7
Blue Bridge Financial,Financial Services,"Buffalo-Cheektowaga-Niagara Falls, NY",Million,New York,3.07,"1,259",5
loanDepot,Financial Services,Los Angeles,Million,California,3.07,"1,260",922
Forthright Technology Partners,IT Services,Miami,Million,Florida,3.07,"1,261",10
PulsePoint,Advertising & Marketing,New York City,Million,New York,3.07,"1,262",95
AMC Bridge,Software,New York City,Million,New Jersey,3.07,"1,263",8
NICE Home Services,Construction,"Washington, DC",Million,Virginia,3.07,"1,264",2
Blue Acorn,IT Services,"Charleston-North Charleston, SC",Million,South Carolina,3.07,"1,265",10
Commercial Fleet Financing,Financial Services,Dallas,Million,Texas,3.06,"1,266",7
Poo~Pourri,Consumer Products & Services,Dallas,Million,Texas,3.06,"1,267",33
Navitas Lease,Financial Services,"Jacksonville, FL",Million,Florida,3.06,"1,268",20
Appalachian Antique Hardwoods,Manufacturing,"Asheville, NC",Million,North Carolina,3.05,"1,269",5
Navigate,Business Products & Services,Philadelphia,Million,Pennsylvania,3.04,"1,270",10
Knightvest Capital,Real Estate,Dallas,Million,Texas,3.04,"1,271",16
CloudNet Group,Telecommunications,Phoenix,Million,Arizona,3.04,"1,272",4
Consolidated Asset Recovery Systems,Financial Services,"Raleigh, NC",Million,North Carolina,3.04,"1,273",33
Advanced Decision Vectors,Government Services,"Washington, DC",Million,Virginia,3.03,"1,274",7
International Screening Solutions,Business Products & Services,Atlanta,Million,Georgia,3.03,"1,275",4
gkhouses.com,Real Estate,"Birmingham-Hoover, AL",Million,Alabama,3.02,"1,276",3
Myriad Supply,IT Services,New York City,Million,New York,3.02,"1,277",92
iTexico,IT Services,Austin,Million,Texas,3.02,"1,278",5
"FATHOM (Oakland, CA)",Manufacturing,San Francisco,Million,California,3.02,"1,279",14
Centric Learning,Education,"Ann Arbor, MI",Million,Michigan,3.02,"1,280",2
Focus School Software,Education,Tampa,Million,Florida,3.01,"1,281",12
Local Search Masters,Advertising & Marketing,Nashville,Million,Tennessee,3.01,"1,282",3
MyStartupCFO,Business Products & Services,Dallas,Million,Texas,3.01,"1,283",4
Purium Health Products,Food & Beverage,Los Angeles,Million,California,3,"1,284",52
Edge Solutions,IT Services,Atlanta,Million,Georgia,3,"1,285",47
Happy Medium,Advertising & Marketing,"Des Moines-West Des Moines, IA",Million,Iowa,3,"1,286",5
Boostability,Advertising & Marketing,"Provo-Orem, UT",Million,Utah,3,"1,287",38
CPC Strategy,Advertising & Marketing,San Diego,Million,California,3,"1,288",5
Pinnacle Technology,IT Services,New York City,Million,New Jersey,3,"1,289",2
Zetta,Business Products & Services,San Jose,Million,California,3,"1,290",8
Vdart,IT Services,Atlanta,Million,Georgia,3,"1,291",83
Veris Group,Security,"Washington, DC",Million,Virginia,2.99,"1,292",31
SmartZip Analytics,Software,San Francisco,Million,California,2.99,"1,293",22
GATR Technologies,Telecommunications,"Huntsville, AL",Million,Alabama,2.99,"1,294",65
ScientiaMobile,Software,"Washington, DC",Million,Virginia,2.98,"1,295",4
Development Group,IT Services,"Redding, CA",Million,California,2.98,"1,296",25
NavPoint Real Estate Group,Real Estate,Denver,Million,Colorado,2.98,"1,297",3
Kestra Private Wealth Services,Financial Services,San Diego,Million,California,2.97,"1,298",12
Pressed Juicery,Food & Beverage,Los Angeles,Million,California,2.97,"1,299",33
MedSource,Health,Houston,Million,Texas,2.97,"1,300",25
Access Networks,IT Services,Los Angeles,Million,California,2.96,"1,301",13
Vernovis,Business Products & Services,Cincinnati,Million,Ohio,2.96,"1,302",5
TSWR Development,Energy,"Greenville-Anderson-Mauldin, SC",Million,South Carolina,2.96,"1,303",2
Rice & Gardner Consultants,Engineering,Houston,Million,Texas,2.96,"1,304",8
United Global Technologies,IT Services,Charlotte,Million,North Carolina,2.96,"1,305",20
Arthur Lawrence FAO,Financial Services,Houston,Million,Texas,2.96,"1,306",2
Dynamic Pro,Government Services,"Washington, DC",Million,Virginia,2.96,"1,307",4
clarion security,Security,"Memphis, TN-MS-AR",Million,Tennessee,2.96,"1,308",7
ProviderTrust,Software,Nashville,Million,Tennessee,2.95,"1,309",4
Foundation,IT Services,Minneapolis,Million,Minnesota,2.95,"1,309",10
Linfield Media / PromoCodesForYou,Advertising & Marketing,Los Angeles,Million,California,2.95,"1,310",8
Small Business Expo,Business Products & Services,New York City,Million,New York,2.95,"1,311",4
SalesStaff,Business Products & Services,Houston,Million,Texas,2.95,"1,312",16
VeracityColab,Media,Los Angeles,Million,California,2.95,"1,313",3
Gadberry Construction Company,Construction,Dallas,Million,Texas,2.95,"1,314",10
Itasca Retail Information Systems,Software,"Des Moines-West Des Moines, IA",Million,Iowa,2.95,"1,315",3
Wheelhouse DMG,Advertising & Marketing,Seattle,Million,Washington,2.95,"1,316",3
Mid Atlantic Professionals,Government Services,"Washington, DC",Million,Maryland,2.94,"1,317",39
InTouch GPS,Telecommunications,"Lakeland-Winter Haven, FL",Million,Florida,2.94,"1,318",10
Markets Group,Financial Services,New York City,Million,New York,2.94,"1,319",12
Milestone Community Builders,Real Estate,Austin,Million,Texas,2.92,"1,320",179
Jazz,Software,"Pittsburgh, PA",Million,Pennsylvania,2.92,"1,321",5
Synaptek,Government Services,"Washington, DC",Million,Virginia,2.92,"1,322",15
Nassau National Cable,Business Products & Services,New York City,Million,New York,2.91,"1,323",7
JMC Electrical Contractor,Construction,Detroit,Million,Michigan,2.91,"1,324",7
CFR Rinkens,Logistics & Transportation,Los Angeles,Million,California,2.91,"1,325",49
Discount Credit Card Supply,Business Products & Services,Chicago,Million,Illinois,2.91,"1,326",5
The Agency,Real Estate,Los Angeles,Million,California,2.91,"1,327",49
IM Creative,Advertising & Marketing,"Columbus, OH",Million,Ohio,2.91,"1,328",5
NAI Benchmark,Real Estate,"Modesto, CA",Million,California,2.91,"1,329",2
AMPAL Group,Food & Beverage,New York City,Million,New Jersey,2.9,"1,330",35
AMTIS,Government Services,"Orlando, FL",Million,Florida,2.9,"1,331",14
Pacific Energy Concepts,Energy,"Portland, OR",Million,Washington,2.89,"1,332",13
StraCon Services Group,Government Services,Dallas,Million,Texas,2.89,"1,333",6
Qiigo,Advertising & Marketing,Atlanta,Million,Georgia,2.88,"1,334",4
Silverback Strategies,Advertising & Marketing,"Washington, DC",Million,Virginia,2.88,"1,335",3
Giant Teddy,Retail,Los Angeles,Million,California,2.88,"1,336",4
REPAY - Realtime Electronic Payments,Financial Services,Atlanta,Million,Georgia,2.88,"1,337",50
TigerFitness.com,Retail,Cincinnati,Million,Ohio,2.87,"1,338",11
Walnut Creek Heating and Air Conditioning,Construction,San Francisco,Million,California,2.87,"1,339",9
Global Financial Private Capital,Financial Services,"North Port-Sarasota-Bradenton, FL",Million,Florida,2.87,"1,340",63
Rocket Web,Software,Chicago,Million,Illinois,2.87,"1,341",2
Worcester Investments,Real Estate,"Kansas City, MO-KS",Million,Missouri,2.87,"1,342",14
10th Magnitude,IT Services,Chicago,Million,Illinois,2.87,"1,343",4
Co-construct,Software,"Charlottesville, VA",Million,Virginia,2.87,"1,344",4
Philosophie Group,Business Products & Services,Los Angeles,Million,California,2.86,"1,345",5
Bitly,Advertising & Marketing,New York City,Million,New York,2.86,"1,346",12
Peak Capital Partners,Real Estate,"Heber, UT",Million,Utah,2.86,"1,347",121
PD Properties,Real Estate,New York City,Million,New York,2.85,"1,348",5
PROJECTXYZ,Government Services,"Huntsville, AL",Million,Alabama,2.85,"1,349",11
Mark Spain Real Estate,Real Estate,Atlanta,Million,Georgia,2.85,"1,350",6
Delve Partners,Advertising & Marketing,New York City,Million,New York,2.85,"1,351",3
ISLE Surf & SUP,Retail,San Diego,Million,California,2.85,"1,352",8
Figueroa Mountain Brewing Co.,Food & Beverage,"Santa Maria-Santa Barbara, CA",Million,California,2.85,"1,353",7
YakAttack,Consumer Products & Services,,Million,Virginia,2.84,"1,354",2
Contracting Resources Group,Government Services,Baltimore,Million,Maryland,2.84,"1,355",6
Everyday California,Consumer Products & Services,San Diego,Million,California,2.84,"1,356",3
Information Technology Strategies,Government Services,"Washington, DC",Million,Virginia,2.83,"1,357",16
CRMSuite,Software,"North Port-Sarasota-Bradenton, FL",Million,Florida,2.83,"1,358",8
DXagency,Advertising & Marketing,New York City,Million,New Jersey,2.83,"1,359",11
Symmetry Financial Group,Insurance,"Asheville, NC",Million,North Carolina,2.83,"1,360",11
Fonteva,Software,"Washington, DC",Million,Virginia,2.82,"1,361",10
Nuventra Pharma Sciences,Health,"Durham-Chapel Hill, NC",Million,North Carolina,2.82,"1,362",6
JAB Innovative Solutions,Government Services,"Washington, DC",Million,Virginia,2.82,"1,363",11
One Concierge,Travel & Hospitality,Miami,Million,Florida,2.81,"1,364",2
Avomeen Analytical Services,Business Products & Services,"Ann Arbor, MI",Million,Michigan,2.81,"1,365",9
Motivity Labs,IT Services,Dallas,Million,Texas,2.81,"1,366",6
CCS Construction Staffing,Human Resources,Charlotte,Million,North Carolina,2.81,"1,367",28
Crawford Thomas Recruiting,Human Resources,"Orlando, FL",Million,Florida,2.81,"1,368",7
Net2Vault,IT Services,"Portland, OR",Million,Oregon,2.81,"1,369",4
MediCore Medical Supply,Health,Nashville,Million,Tennessee,2.8,"1,370",4
Schlotzsky's and Dairy Queen,Food & Beverage,Dallas,Million,Texas,2.8,"1,371",21
CFO Systems,Financial Services,"Omaha-Council Bluffs, NE-IA",Million,Nebraska,2.8,"1,372",4
IdeaTek Telcom,Telecommunications,"Hutchinson, KS",Million,Kansas,2.8,"1,373",3
Technomax,IT Services,"Trenton, NJ",Million,New Jersey,2.8,"1,374",9
DMD Systems Recovery,IT Services,Phoenix,Million,Arizona,2.8,"1,375",3
Succeed To Lead,Government Services,"Washington, DC",Million,Virginia,2.79,"1,376",8
BIS Global,Software,"Washington, DC",Million,Virginia,2.79,"1,377",4
Petticoat-Schmitt Civil Contractors,Construction,"Jacksonville, FL",Million,Florida,2.79,"1,378",45
GP Transco,Logistics & Transportation,Chicago,Million,Illinois,2.79,"1,379",28
Zeeto,Advertising & Marketing,San Diego,Million,California,2.79,"1,380",41
Coastal Ridge Real Estate,Real Estate,"Columbus, OH",Million,Ohio,2.79,"1,381",5
Insigma,IT Services,"Washington, DC",Million,Virginia,2.78,"1,382",9
Adpearance,Advertising & Marketing,"Portland, OR",Million,Oregon,2.78,"1,383",13
CME4Life,Health,"Buffalo-Cheektowaga-Niagara Falls, NY",Million,New York,2.78,"1,384",3
Premier Management,Government Services,Baltimore,Million,Maryland,2.78,"1,385",36
Thought Ensemble,IT Services,Denver,Million,Colorado,2.77,"1,386",5
Verity Consulting,Business Products & Services,Seattle,Million,Washington,2.77,"1,387",9
Invoca,Software,"Santa Maria-Santa Barbara, CA",Million,California,2.77,"1,388",19
Rocket 55,Advertising & Marketing,Minneapolis,Million,Minnesota,2.76,"1,389",3
acquisitionsandrenewals.com,Telecommunications,"Las Vegas-Henderson-Paradise, NV",Million,Nevada,2.76,"1,390",6
Cyber Defense Solutions,Security,"Washington, DC",Million,Virginia,2.76,"1,391",4
InterMerchant Services,Financial Services,"New Haven-Milford, CT",Million,Connecticut,2.76,"1,392",3
Centerline Solutions,Telecommunications,"Boulder, CO",Million,Colorado,2.75,"1,393",53
Kennedy Distributing Co.,Business Products & Services,"El Campo, TX",Million,Texas,2.74,"1,394",2
Five Stones Research,Government Services,"Huntsville, AL",Million,Alabama,2.74,"1,395",19
HigherVisibility,Advertising & Marketing,"Memphis, TN-MS-AR",Million,Tennessee,2.74,"1,396",5
UST,Health,"Ogden-Clearfield, UT",Million,Utah,2.73,"1,397",46
Silverline CRM,IT Services,New York City,Million,New York,2.73,"1,398",22
Trident Components,Manufacturing,Dallas,Million,Texas,2.73,"1,399",7
Voyzze Communications,Telecommunications,San Francisco,Million,California,2.72,"1,400",4
Innovative Surveillance Solutions,Security,Dallas,Million,Texas,2.72,"1,401",14
Scorpion,Advertising & Marketing,Los Angeles,Million,California,2.72,"1,402",73
BTB Security,Security,Philadelphia,Million,Pennsylvania,2.72,"1,403",2
Enviro-Master Franchise International,Business Products & Services,Charlotte,Million,North Carolina,2.72,"1,404",6
Think Brownstone,IT Services,Philadelphia,Million,Pennsylvania,2.72,"1,405",10
FlexProfessionals,Human Resources,"Washington, DC",Million,Virginia,2.72,"1,406",3
WeddingWire,Consumer Products & Services,"Washington, DC",Million,Maryland,2.72,"1,407",73
Solstice Benefits,Insurance,Miami,Million,Florida,2.71,"1,408",39
DiscoverOrg,Software,"Portland, OR",Million,Washington,2.71,"1,409",44
Surly Brewing,Food & Beverage,Minneapolis,Million,Minnesota,2.71,"1,410",30
Raneys,Retail,"Ocala, FL",Million,Florida,2.71,"1,411",11
Cloudbakers,IT Services,Chicago,Million,Illinois,2.71,"1,412",3
RapidVisa,Consumer Products & Services,"Colorado Springs, CO",Million,Colorado,2.71,"1,413",2
FATHOM Water Management,Software,Phoenix,Million,Arizona,2.71,"1,414",17
Carlson Management Consulting,IT Services,Boston,Million,Massachusetts,2.71,"1,415",3
DIGITALSPEC,IT Services,"Washington, DC",Million,Virginia,2.71,"1,416",4
Feel Good Foods,Food & Beverage,New York City,Million,New York,2.7,"1,417",3
Western Window Systems,Manufacturing,Phoenix,Million,Arizona,2.7,"1,418",70
The Cheat Sheet,Media,"Asheville, NC",Million,North Carolina,2.7,"1,419",9
Entrada Health,Health,Nashville,Million,Tennessee,2.7,"1,420",10
Clarity 2 Prosperity Mastermind Group,Financial Services,Cleveland,Million,Ohio,2.7,"1,421",5
Chesapeake Plumbing and Heating,Construction,"Salisbury, MD-DE",Million,Delaware,2.69,"1,422",13
CARCHEX,Consumer Products & Services,Baltimore,Million,Maryland,2.69,"1,423",67
NRL Mortgage,Financial Services,Houston,Million,Texas,2.69,"1,424",42
Zippy Shell,Logistics & Transportation,"Washington, DC",Million,District of Columbia,2.68,"1,425",11
Patriot Group International,Government Services,"Washington, DC",Million,Virginia,2.68,"1,426",33
TRACE,Business Products & Services,Baltimore,Million,Maryland,2.68,"1,427",5
Inspiria Media Group,Media,New York City,Million,New York,2.68,"1,428",4
Zephyr Partners,Real Estate,San Diego,Million,California,2.68,"1,429",76
Akins IT,IT Services,Los Angeles,Million,California,2.68,"1,430",5
prizelogic,Advertising & Marketing,Detroit,Million,Michigan,2.67,"1,431",50
3d Lacrosse,Consumer Products & Services,Denver,Million,Colorado,2.67,"1,432",14
Insight Technology Solutions,Government Services,"Washington, DC",Million,Maryland,2.67,"1,433",16
ApplicantPro,Human Resources,"Provo-Orem, UT",Million,Utah,2.67,"1,434",7
Falcon Consulting Group,Health,Chicago,Million,Illinois,2.66,"1,435",15
Black Clover Enterprises,Consumer Products & Services,Salt Lake City,Million,Utah,2.66,"1,436",8
Precise Leads,Advertising & Marketing,New York City,Million,New York,2.66,"1,437",25
Pura Vida Bracelets,Retail,San Diego,Million,California,2.66,"1,438",11
San Francisco Salt Company,Consumer Products & Services,San Francisco,Million,California,2.66,"1,439",9
MedHOK,Health,Tampa,Million,Florida,2.66,"1,440",39
MyJobHelper.com,Business Products & Services,New York City,Million,New York,2.66,"1,441",8
symplr,Health,Houston,Million,Texas,2.66,"1,442",27
Buildium,Software,Boston,Million,Massachusetts,2.66,"1,443",19
Affinity Group Management,Real Estate,"Kansas City, MO-KS",Million,Missouri,2.65,"1,444",31
WebPT,Software,Phoenix,Million,Arizona,2.65,"1,445",32
TeleSign,Security,Los Angeles,Million,California,2.64,"1,446",89
NexGen Communications,Consumer Products & Services,Philadelphia,Million,New Jersey,2.64,"1,447",7
The Revenue Optimization Companies,Retail,Miami,Million,Florida,2.64,"1,448",31
T and T Consulting Services,Government Services,"Washington, DC",Million,Virginia,2.64,"1,449",16
Next Generation Enrollment,Human Resources,"Grand Rapids-Wyoming, MI",Million,Michigan,2.64,"1,450",9
Profuse Solutions,IT Services,Los Angeles,Million,California,2.64,"1,451",4
Quality In Real Time,Health,New York City,Million,New York,2.64,"1,452",11
LunaMetrics,Business Products & Services,"Pittsburgh, PA",Million,Pennsylvania,2.64,"1,453",5
TravelPASS Group,Advertising & Marketing,"Provo-Orem, UT",Million,Utah,2.63,"1,454",46
EdgeCore,Advertising & Marketing,"Waterloo-Cedar Falls, IA",Million,Iowa,2.63,"1,455",22
Tapestry Technologies,Security,"Chambersburg-Waynesboro, PA",Million,Pennsylvania,2.63,"1,456",16
First Family Insurance,Insurance,"Cape Coral-Fort Myers, FL",Million,Florida,2.63,"1,457",12
VAVi Sport and Social,Consumer Products & Services,San Diego,Million,California,2.63,"1,458",13
Nordic,Health,"Madison, WI",Million,Wisconsin,2.63,"1,459",137
The Trade Desk,Advertising & Marketing,"Oxnard-Thousand Oaks-Ventura, CA",Million,California,2.63,"1,460",114
LDiscovery,Business Products & Services,"Washington, DC",Million,Virginia,2.63,"1,461",92
Zero Waste Solutions,Business Products & Services,San Francisco,Million,California,2.62,"1,462",24
Medical Solutions,Health,"Omaha-Council Bluffs, NE-IA",Million,Nebraska,2.62,"1,463",217
Dynamis,Government Services,"Washington, DC",Million,Virginia,2.62,"1,464",17
Workbox Staffing,Human Resources,"Grand Rapids-Wyoming, MI",Million,Michigan,2.62,"1,465",44
WOLFCOM,Government Services,Los Angeles,Million,California,2.62,"1,466",3
NorthStar Alarm,Security,"Provo-Orem, UT",Million,Utah,2.61,"1,467",39
Konnect Agency,Advertising & Marketing,Los Angeles,Million,California,2.61,"1,468",5
Four Foods Group,Food & Beverage,"Provo-Orem, UT",Million,Utah,2.61,"1,469",79
Concero Search Partners,Human Resources,"Madison, WI",Million,Wisconsin,2.61,"1,470",3
treetree,Advertising & Marketing,"Columbus, OH",Million,Ohio,2.61,"1,471",3
Yak Gear,Consumer Products & Services,Houston,Million,Texas,2.61,"1,472",3
Apprio,Government Services,"Washington, DC",Million,District of Columbia,2.6,"1,473",31
Pondurance,IT Services,"Indianapolis, IN",Million,Indiana,2.6,"1,474",3
DECA Dental Group,Health,Dallas,Million,Texas,2.6,"1,475",41
Le Macaron French Pastries,Food & Beverage,"North Port-Sarasota-Bradenton, FL",Million,Florida,2.59,"1,476",5
Eruptr,Advertising & Marketing,"Orlando, FL",Million,Florida,2.59,"1,477",7
Enhanced Veterans Solutions,Government Services,"Washington, DC",Million,Virginia,2.59,"1,478",5
SoftPath Technologies,IT Services,Detroit,Million,Michigan,2.58,"1,479",6
Walker-Miller Energy Services,Energy,Detroit,Million,Michigan,2.58,"1,480",8
ForeScout,Security,San Jose,Million,California,2.58,"1,481",126
NetRush,Retail,"Portland, OR",Million,Washington,2.57,"1,482",59
Camp Gladiator,Consumer Products & Services,Austin,Million,Texas,2.57,"1,483",16
Path-Tec,Health,"Columbus, GA-AL",Million,Georgia,2.57,"1,484",25
Russell Marine,Construction,Houston,Million,Texas,2.57,"1,485",73
Spot Freight,Logistics & Transportation,"Indianapolis, IN",Million,Indiana,2.57,"1,486",64
